Dataset,Target,Noise Level (%),Random Forest RMSE,Random Forest MAE,Random Forest R2,HistGradientBoosting RMSE,HistGradientBoosting MAE,HistGradientBoosting R2,MLP RMSE,MLP MAE,MLP R2
Air Quality,CO(GT),0,0.8020817447880049,0.5305808832268933,0.7304632340392441,0.8364168699128253,0.5523035312272393,0.7068929149406685,1.3238515055756448,1.025286941710964,0.2657240623542444
Air Quality,CO(GT),5,0.8075658577562242,0.5389982577819741,0.7267647993953108,0.8401583911042699,0.5581455054734992,0.7042647536641433,1.3375458666043742,1.0370860788628506,0.25045430112820755
Air Quality,CO(GT),10,0.814426264953852,0.5503091534976227,0.7221027230219305,0.8430716279799692,0.5647099614664631,0.7022102826627565,1.3364717094234093,1.0396665194159624,0.25165770898566675
Air Quality,CO(GT),20,0.8522974027347509,0.6106232572776652,0.6956571668690792,0.8753995265092528,0.6152466742898923,0.6789347049024492,1.3917030325002282,1.0835064484238133,0.1885273324077994
Appliances Energy,Appliances,0,78.53867401410761,47.89328752893356,0.3165107375283427,72.9534005864646,42.48256397711461,0.41026670480850325,151.82280068507853,123.93980144154172,-1.5541039226658233
Appliances Energy,Appliances,5,79.60383216376313,49.23168255462304,0.2978457682931772,74.20004877974748,43.66974654366188,0.38993944090771493,151.90815067899933,123.95861556608396,-1.5569764033158573
Appliances Energy,Appliances,10,80.73356701611908,50.896058583013534,0.2777744485960648,74.49786401395887,44.9292879177736,0.3850324376200943,152.4015696243185,124.45258736817976,-1.5736142153046444
Appliances Energy,Appliances,20,84.34866582895819,56.91819904268362,0.21164649644020073,78.8434387114238,50.444108918980284,0.31119596603905864,155.6024344926681,126.93170556545105,-1.682855869821156
