Dataset,Model,Clean RMSE,20% Noise RMSE,Robustness Score (%)
Air Quality,Random Forest,0.8020817447880049,0.8522974027347509,94.10820005016795
Air Quality,HistGradientBoosting,0.8364168699128253,0.8753995265092528,95.54687255179644
Air Quality,MLP,1.3238515055756448,1.3917030325002282,95.12456857964257
Appliances Energy,Random Forest,78.53867401410761,84.34866582895819,93.11193394969393
Appliances Energy,HistGradientBoosting,72.9534005864646,78.8434387114238,92.52945048919361
Appliances Energy,MLP,151.82280068507853,155.6024344926681,97.57096743382402
