Dataset,Target,Model,Clean RMSE,20% Noise RMSE,Robustness Score (%),Training Time (s),Estimated Power (W),Estimated Energy (Wh),Robustness per Wh
Air Quality,CO(GT),Random Forest,0.8020817447880049,0.8522974027347509,94.10820005016795,16.29317593574524,50,0.2262941102186839,415.8667653495613
Air Quality,CO(GT),HistGradientBoosting,0.8364168699128253,0.8753995265092528,95.54687255179644,1.7876269817352295,65,0.03227659828133053,2960.2521541686324
Air Quality,CO(GT),MLP,1.3238515055756448,1.3917030325002282,95.12456857964257,9.91564655303955,90,0.24789116382598875,383.7352115651916
Appliances Energy,Appliances,Random Forest,78.53867401410761,84.34866582895819,93.11193394969393,31.267064094543457,50,0.4342647790908813,214.4128149886063
Appliances Energy,Appliances,HistGradientBoosting,72.9534005864646,78.8434387114238,92.52945048919361,3.0805158615112305,65,0.055620425277286105,1663.5875825169676
Appliances Energy,Appliances,MLP,151.82280068507853,155.6024344926681,97.57096743382402,13.40537142753601,90,0.33513428568840026,291.13991408626936
