Dataset,Target,Missing Data (%),Random Forest RMSE,Random Forest MAE,Random Forest R2,HistGradientBoosting RMSE,HistGradientBoosting MAE,HistGradientBoosting R2,MLP RMSE,MLP MAE,MLP R2
Air Quality,CO(GT),0,0.8020817447880049,0.5305808832268933,0.7304632340392441,0.8364168699128253,0.5523035312272393,0.7068929149406685,1.3238515055756448,1.025286941710964,0.2657240623542444
Air Quality,CO(GT),10,0.9381209813911793,0.610189114512067,0.6312785121216318,0.9554866784915346,0.6228139889902649,0.6175012483739981,1.5443820957271015,1.1611597946854388,0.0007129359130090274
Air Quality,CO(GT),20,1.106805149406323,0.711334031159976,0.4867569333652675,1.1281258357465564,0.7329010820281308,0.46679300297650506,1.6173133710521934,1.1801822393231196,-0.09589539828642346
Air Quality,CO(GT),30,1.1758935051932091,0.7770875944026387,0.4206823871487446,1.1924057728283932,0.7932940005288789,0.40429823203453996,1.6008435640957726,1.1908521597528174,-0.07368908426771625
Appliances Energy,Appliances,0,78.53867401410761,47.89328752893356,0.3165107375283427,72.9534005864646,42.48256397711461,0.41026670480850325,151.82280068507853,123.93980144154172,-1.5541039226658233
Appliances Energy,Appliances,10,84.5998856280935,48.087258202642644,0.20694351891409257,80.66532762167652,44.520818254232715,0.2789948432237106,149.28383156220113,119.22862601077968,-1.469392435203011
Appliances Energy,Appliances,20,83.14973885382332,47.17391284822898,0.23389844121932923,80.48300787062367,44.76447878191216,0.2822503912764467,142.41689387774315,112.6162874044825,-1.247437307707293
Appliances Energy,Appliances,30,85.10307116509047,45.60089525202017,0.19748153673349889,82.99663135295543,44.64812517635723,0.23671716092871287,141.68541032498723,110.76646881791306,-1.224409961606205
